medicine_name
"ANTHRACINUM"
"ANTIPYRINUM"
"ANTIMONIUM ARSENICOSUM"
"ANTIMONIUM TARTARICUM"
"ANTHEMIS NOBILIS"
"ANTIMONIUM CRUDUM"
"ANTHRACOKALI"
"ANTIMONIUM SULPHURATUM AURATUM"
"APHIS CHENOPODII GLAUCI"
"ANILINUM"
"ANHALONIUM LEWINII"
"ANANTHERUM MURICATUM"
"ANISUM STELLATUM"
"ANEMOPSIS CALIFORNICA"
"ZIZIA AUREA"
"ZINGIBER OFFICINALE"
"ANGUSTURA VERA"
"ZINCUM VALERIANICUM"
"XEROPHYLLUM"
"YOHIMBINUM"
"ZINCUM METALLICUM"
"YUCCA FILAMENTOSA"
"XANTOXYLUM FRAXINEUM"
"X-RAY"
"WYETHIA HELENOIDES"
"VIPERA BERUS"
"VERBENA URTICAEFOLIA"
"VISCUM ALBUM"
"VIOLA ODORATA"
"VIOLA TRICOLOR"
"VINCA MINOR"
"VIBURNUM OPULUS"
"VESPA CRABRO"
"VARIOLINUM"
"VERBASCUM THAPSUS"
"VANADIUM METALLICUM"
"VERATRUM ALBUM"
"VANILLA AROMATICA"
"VALERIANA OFFICINALIS"
"VACCININUM"
"VERATRUM VIRIDE"
"UVA URSI"
"URTICA URENS"
"UREA PURA"
"USNEA BARBATA"
"URANIUM NITRICUM"
"USTILAGO MAYDIS"
"UPAS TIEUT"
"TUSSILAGO PETASITES"
"TRIOSTEUM PERFOLIATUM"
"TROMBIDIUM MUSCAE DOMESTICAE"
"TRILLIUM PENDULUM"
"TUBERCULINUM"
"TRITICUM REPENS-AGROPYRON REPENS"
"TRIBULUS TERRESTRIS"
"TRINITROTOLUENUM"
"TRIFOLIUM PRATENSE"
"TORULA CEREVISIAE"
"TONGO-DIPTERIX ODORATA"
"TILIA EUROPAEA"
"TITANIUM METALLICUM"
"THYROIDINUM"
"THUJA OCCIDENTALIS"
"THYMUS SERPYLLUM"
"THYMOLUM"
"THIOSINAMINUM"
"THLASPI BURSA PASTORIS"
"THERIDION CURASSAVICUM"
"THALLIUM METALLICUM"
"THEA CHINENSIS"
"TELLURIUM METALLICUM"
"TEUCRIUM MARUM VERUM"
"TEREBINTHINIAE OLEUM"
"TARENTULA HISPANICA"
"TAXUS BACCATA"
"TARTARICUM ACIDUM"
"TARENTULA CUBENSIS"
"TANNICUM ACIDUM"
"TABACUM"
"TANACETUM VULGARE"
