Medicine Name,Symptom,Description
ABIES CANADENSIS-PINUS CANADENSIS,Head,"Feels light-headed, tipsy. Irritable."
ABIES CANADENSIS-PINUS CANADENSIS,Stomach,"Canine hunger with torpid liver. Gnawing, hungry, faint feeling at the epigastrium. Great appetite, craving for meat, pickles, radishes, turnips, artichokes, coarse food. Tendency to eat far beyond capacity for digestion. Burning and distention of stomach and abdomen with palpitation. Flatulence disturbs the heart's action. Pain in right shoulder-blade, and constipation, with burning in rectum."
ABIES CANADENSIS-PINUS CANADENSIS,Female,"Uterine displacements. Sore feeling at fundus of uterus, relieved by pressure. Prostration; wants to lie down all the time. Thinks womb is soft and feeble."
ABIES CANADENSIS-PINUS CANADENSIS,Fever,"Cold shivering, as if blood were ice-water (Acon). Chills run down back. Cold water feeling between shoulders (Ammon mur). Skin clammy and sticky. Night-sweat (China)."
ABIES CANADENSIS-PINUS CANADENSIS,Dose,First to third potency.
ANTIMONIUM CRUDUM,Mind,Much concerned about his fate. Cross and contradictive; whatever is done fails to give satisfaction. Sulky; does not wish to speak. Peevish; vexed without cause. Child cannot bear to be touched or looked at. Angry at every little attention. Sentimental mood.
ANTIMONIUM CRUDUM,Head,"Aching, worse in vertex, on ascending, from bathing, from disordered stomach, especially from eating candy or drinking acid wines. Suppressed eruptions. Heaviness in forehead with vertigo; nausea, and nosebleed. Headache with great loss of hair."
ANTIMONIUM CRUDUM,Eyes,"Dull, sunken, red, itch, inflamed, agglutinated. Canthi raw and fissured. Chronic blepharitis. Pustules on cornea and lids."
ANTIMONIUM CRUDUM,Ears,Redness; swelling; pain in eustachian tube. Ringing and deafness. Moist eruption around ear.
ANTIMONIUM CRUDUM,Nose,"Nostrils chapped and covered with crusts. Eczema of nostrils, sore, cracked and scurfy."
ANTIMONIUM CRUDUM,Face,"Pimples, pustules, and boils on face. Yellow crusted eruption on cheeks and chin. Sallow and haggard."
ANTIMONIUM CRUDUM,Mouth,"Cracks in corners of mouth. Dry lips. Saltish saliva. Much slimy mucus. Tongue coated thick white, as if whitewashed. Gums detach from teeth; bleed easily. Toothache in hollow teeth. Rawness of palate, with expectoration of much mucus. Canker sores. Pappy taste. No thirst. Subacute eczema about mouth."
ANTIMONIUM CRUDUM,Throat,Much thick yellowish mucus from posterior nares. Hawking in open air. Laryngitis. Rough voice from over use.
ANTIMONIUM CRUDUM,Stomach,"Loss of appetite. Desire for acids, pickles. Thirst in evening and night. Eructation tasting of the ingesta. Heartburn, nausea, vomiting. After nursing, the child vomits its milk in curds, and refuses to nurse afterwards, and is very cross. Gastric and intestinal complaints from bread and pastry, acids, sour wine, cold bathing, overheating, hot weather. Constant belching. Gouty metastasis to stomach and bowels. Sweetish waterbrash. Bloating after eating."
