Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES CANADENSIS-PINUS CANADENSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uterine displacements. Sore feeling at fundus of uterus, relieved by pressure. Prostration; wants to lie down all the time. Thinks womb is soft and feeble.","Cold shivering, as if blood were ice-water (Acon). Chills run down back. Cold water feeling between shoulders (Ammon mur). Skin clammy and sticky. Night-sweat (China).",,,,,,,"Feels light-headed, tipsy. Irritable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canine hunger with torpid liver. Gnawing, hungry, faint feeling at the epigastrium. Great appetite, craving for meat, pickles, radishes, turnips, artichokes, coarse food. Tendency to eat far beyond capacity for digestion. Burning and distention of stomach and abdomen with palpitation. Flatulence disturbs the heart's action. Pain in right shoulder-blade, and constipation, with burning in rectum.",,,,,,,,,,,,,
ANTIMONIUM CRUDUM,,,,,,Itching and pain of neck and back.,,,,,,,,,,,,,,,,,,,,Redness; swelling; pain in eustachian tube. Ringing and deafness. Moist eruption around ear.,Twitching of muscles. Jerks in arms. Arthritic pain in fingers. Nails brittle; grow out of shape. Horny warts on hands and soles. Weakness and shaking of hands in writing followed by offensive flatulence. Feet very tender; covered with large horny places. Inflamed corns. Pain in heels.,,"Dull, sunken, red, itch, inflamed, agglutinated. Canthi raw and fissured. Chronic blepharitis. Pustules on cornea and lids.",,"Pimples, pustules, and boils on face. Yellow crusted eruption on cheeks and chin. Sallow and haggard.","Excited; parts itch. Before menses, toothache; menses too early and profuse. Menses suppressed from cold bathing, with feeling of pressure in pelvis and tenderness in ovarian region. Leucorrhoea watery; acrid, lumpy.","Chilly even in warm room. Intermittent with disgust, nausea, vomiting, eructations, coated tongue, diarrhoea. Hot sweat.",,,,,,,"Aching, worse in vertex, on ascending, from bathing, from disordered stomach, especially from eating candy or drinking acid wines. Suppressed eruptions. Heaviness in forehead with vertigo; nausea, and nosebleed. Headache with great loss of hair.",,,,,,,,,Eruption on scrotum and about genitals. Impotence. Atrophy of penis and testicles.,,Much concerned about his fate. Cross and contradictive; whatever is done fails to give satisfaction. Sulky; does not wish to speak. Peevish; vexed without cause. Child cannot bear to be touched or looked at. Angry at every little attention. Sentimental mood.,,"Worse, in evening, from heat, acids, wine, water, and washing. Wet poultices. Better, in open air, during rest. Moist warmth.",,"Cracks in corners of mouth. Dry lips. Saltish saliva. Much slimy mucus. Tongue coated thick white, as if whitewashed. Gums detach from teeth; bleed easily. Toothache in hollow teeth. Rawness of palate, with expectoration of much mucus. Canker sores. Pappy taste. No thirst. Subacute eczema about mouth.",,,,,,,,,"Nostrils chapped and covered with crusts. Eczema of nostrils, sore, cracked and scurfy.",,,,,,,,,"Cough worse coming into warm room, with burning sensation in chest, itching of chest, oppression. Loss of voice from becoming overheated. Voice harsh and badly pitched.",,,"Eczema with gastric derangements. Pimples, vesicles, and pustules. Sensitive to cold bathing. Thick, hard, honey-colored scabs. Urticaria; measle-like eruption. Itching when warm in bed. Dry skin. Warts (Thuja; Sabina; Caust). Dry gangrene. Scaly, pustular eruption with burning and itching, worse at night.",Continual drowsiness in old people.,,"Loss of appetite. Desire for acids, pickles. Thirst in evening and night. Eructation tasting of the ingesta. Heartburn, nausea, vomiting. After nursing, the child vomits its milk in curds, and refuses to nurse afterwards, and is very cross. Gastric and intestinal complaints from bread and pastry, acids, sour wine, cold bathing, overheating, hot weather. Constant belching. Gouty metastasis to stomach and bowels. Sweetish waterbrash. Bloating after eating.",,"Anal itching (Sulpho-calc. Alum). diarrhoea alternates with constipation, especially in old people. Diarrhoea after acids, sour wine, baths, overeating; slimy, flatulent stools. Mucous piles, continued oozing of mucus. Hard lumps mixed with watery discharge. Catarrhal proctitis. Stools composed entirely of mucus.",,,,Much thick yellowish mucus from posterior nares. Hawking in open air. Laryngitis. Rough voice from over use.,,,,,"Frequent, with burning, and backache; turbid and foul odor.",,
ANTIMONIUM ARSENICOSUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APHIS CHENOPODII GLAUCI,,,,,,"Severe pains in region of lower inner angle of left shoulder-blade, running into chest.",,,,,,,,,,,,,,,,,,,,,,,,,,,Shuddering all over; burning in palms; hot sweat in bed.,,,,,,,"Sad; aching, worse from motion. Brain seems swashed hither and thither. Coryza, with burning or biting in nostrils. Noise in ears, as of cannon. Yellow face. Orbital right neuralgia, with profuse lachrymation. Toothache, relieved by general warm sweat (Cham). Toothache extends to ear, temple, and cheek-bone (Plantago).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No appetite for meat and bread. Vesicles at end of tongue. Much mucus. Colic with much rumbling and ineffectual urging to stool.,,,,"Hard and knotty. Diarrhoea in morning, with painful urging and burning in anus, and pressure in rectum and bladder.",,,,,,,"Voluptuous feeling in glans. Burning in urethra. Urination frequent, copious, frothy.",,
APIS MELLIFICA,"Sore, bruised on pressure, when sneezing. Extremely tender. Dropsy of abdomen. Peritonitis. Swelling in right groin.",,,,,,,,,,,,,,,,,,,,,,,,,"External ear red, inflamed, sore; stinging pains.","Å’dematous. Synovitis. Felon in beginning. Knee swollen, shiny, sensitive, sore, with stinging pain. Feet swollen and stiff. Feel too large. Rheumatic pain in back and limbs; Tired, bruised feeling. Numbness of hands and tips of fingers. Hives with intolerable itching. Å’dematous swellings.",,"Lids swollen, red, oedematous, everted, inflamed; burn and sting. Conjunctiva bright red, puffy. Lachrymation hot. Photophobia. Sudden piercing pains. Pain around orbits. Serous exudation, oedema, and sharp pains. Suppurative inflammation of eyes. Keratitis with intense chemosis of ocular conjunctiva. Staphyloma of cornea following suppurative inflammation. Styes, also prevents their recurrence.",,"Swollen, red, with piercing pain. Waxy, pale, oedematous. Erysipelas with stinging burning oedema. Extends from right to left.","Å’dema of labia; relieved by cold water. Soreness and stinging pains; ovaritis; worse in right ovary. Menses suppressed, with cerebral and head symptoms, especially in young girls. Dysmenorrhoea, with severe ovarian pains. Metrorrhagia profuse, with heavy abdomen, faintness, stinging pain. Sense of tightness. Bearing-down, as if menses were to appear. Ovarian tumors, metritis with stinging pains. Great tenderness over abdomen and uterine region.","Afternoon chill, with thirst; worse on motion and heat. External heat, with smothering feeling. Sweat slight, with sleepiness. Perspiration breaks out and dries up frequently. Sleeps after the fever paroxysm. After perspiration, nettle rash, also with shuddering.",,,,,,,"Whole brain feels very tired. Vertigo with sneezing, worse on lying or closing eyes. Heat, throbbing, distensive pains, better on pressure, and worse on motion. Sudden stabbing pains. Dull, heavy sensation in occiput, as from a blow, extending to neck (better on pressure), accompanied with sexual excitement. Bores head into pillow and screams out.",,,,,,,,,,,"Apathy, indifference, and unconsciousness. Awkward; drops things readily. Stupor, with sudden sharp cries and startings. Stupor alternating with erotic mania. Sensation of dying. Listless; cannot think clearly. Jealous, fidgety, hard to please. Sudden shrill, piercing screams. Whining. Tearfulness. Jealously, fright, rage, vexation, grief. Cannot concentrate mind when attempting to read or study.",,"Worse, heat in any form; touch; pressure; late in afternoon; after sleeping; in closed and heated rooms. Right side. Better, in open air, uncovering, and cold bathing.",,"Tongue fiery red, swollen, sore, and raw, with vesicles. Scalding in mouth and throat. Tongue feels scalded, red hot, trembling. Gums swollen. Lips swollen, especially upper. Membrane of mouth and throat glossy, as if varnished. Red, shining, and puffy, like erysipelas. Cancer of the tongue.",,,,,,,,,"Coldness of tips of nose. Red, swollen, inflamed, with sharp pains.",,,,,,,,,"Hoarseness; dyspnoea, breathing hurried and difficult. Å’dema of larynx. Feels as if he could not draw another breath. Suffocation; short, dry cough, suprasternal. Hydrothorax.",,,"Swellings after bites; sore, sensitive. Stinging. Erysipelas, with sensitiveness and swelling, rosy hue. Carbuncles, with burning, stinging pain (Ars; Anthrac). Sudden puffing up of whole body.",Very drowsy. Dreams full of care and toil. Screams and sudden starting during sleep.,,Sore feeling. Thirstless. Vomiting of food. Craving for milk (Rhus).,,"Involuntary on every motion; anus seems open. Bloody, painless. Anus feels raw. Haemorrhoids, with stinging pain, after confinement. Diarrhoea watery, yellow; cholera infantum type. Cannot urinate without a stool. Dark, fetid, worse after eating. Constipation; feels as if something would break on straining.",,,,"Constricted, stinging pains. Uvula swollen, sac-like. Throat swollen, inside and out; tonsils swollen, puffy, fiery red. Ulcers on tonsils. Fiery red margin around leathery membrane. Sensation of fishbone in throat.",,,,,"Burning and soreness when urinating. Suppressed, loaded with casts; frequent and involuntary; stinging pain and strangury; scanty, high colored. Incontinence. Last drops burn and smart.",,
ANTIPYRINUM,,,,,,,,,,,,,,,,,,,,,,,,,,Pains and buzzing. Tinnitus.,,,"Puffiness of lids. Conjunctiva red and oedematous, with lachrymation. Red spots (Apis).",,Å’dema and puffiness. Red and swollen.,Itching and burning in vagina. Menses suppressed. Watery leucorrhoea.,,,,,,,,Throbbing headache; sensation of constriction. Flashes of heat. Headache under ears with earache.,,"Faintness, with sensation of stoppage of heart. Throbbing throughout the body. Rapid, weak, irregular pulse.",,,,,,,,,Fear of becoming insane; nervous anxiety; hallucinations of sight and hearing.,,,,Swelling of lips. Burning of mouth and gums. Ulceration of lips and tongue; vesicles and bullae. Small lump in cheek. Tongue swollen. Bloody saliva. Toothache along lower jaw.,,,Epileptiform seizures. Contractures. Trembling and cramps. Crawling and numbness. General prostration.,,,,,,,,,,,,,,,Fluent coryza. Nasal mucous membrane swollen. Dull pains in frontal sinus. Aphonia. Oppression and dyspnoea. Cheyne-Stokes respiration.,,,"Erythema, eczema, pemphigus. Intense pruritus. Urticaria, appearing and disappearing suddenly, with internal coldness. Angioneurotic-oedema. Dark blotches on skin of penis, sometimes with oedema.",,,Nausea and vomiting; burning and pain.,,,,,,"Pain on swallowing. Expectoration of fetid pus. Abscess, white false membrane. Sensation of burning.",,,,,Diminished. Penis black.,,
APIUM GRAVEOLENS,"Sore; sharp sticking pain as if stool was coming on; diarrhoea, sharp pain in left iliac region going over to right. Nausea increases with pains.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sharp sticking pains in both ovarian regions, left, better bending over, by lying on left side, with legs flexed; nipples tender.",,,,,,,,Depressed; energetic; feeling of fidgets; cannot sleep from thinking. Headache; better eating. Eyeballs feel sunken. Itching in eyes. Itching and smarting in inner canthus of left eye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tickling, dry cough. Intense constriction over sternum, with drawing feeling through to back on lying down. Throat swollen, dyspnoea.",,,"Itching blotches; burning, creeping sensation. Profuse discharge from granulating ulcers. Urticaria with shuddering.",Unrefreshed; sleepless. Wakes from 1 to 3 am.Eating does not help sleep. Not fatigued from loss of sleep.,,,,,,,,,,,,,,,
ANTIMONIUM TARTARICUM,"Spasmodic colic, much flatus. Pressure in abdomen, especially on stooping forward. Cholera morbus. Diarrhoea in eruptive diseases.",,,,,"Violent pain in sacro-lumbar region. Slightest effort to move may cause retching and cold, clammy sweat. Sensation of heavy weight at the coccyx, dragging downward all the time. Twitching of muscles; limbs tremulous.",,,,,,,,,,,,,,,,,,,,,,,,,"Cold, blue, pale; covered with cold sweat. Incessant quivering of chin and lower jaw (Gelsem).",,"Coldness, trembling, and chilliness. Intense heat. Copious perspiration. Cold, clammy sweat, with great faintness. Intermittent fever with lethargic condition.",,,,,,,,,,,,,,,,,,,"Vertigo alternates with drowsiness. Great despondency. Fear of being alone. Muttering, delirium, and stupor. Vertigo, with dullness and confusion. Band-like feeling over forehead. Face pale and sunken. Child will not be touched without whining. Headache as from a band compressing (Nit ac).","Worse, in evening; from lying down at night; from warmth; in damp cold weather; from all sour things and milk. Better, from sitting erect; from eructation and expectoration.",,,,,,,,,,,,,,,,,,,,,"Hoarseness. Great rattling of mucus, but very little is expectorated. Velvety feeling in chest. Burning sensation in chest, which ascends to throat. Rapid, short, difficult breathing; seems as if he would suffocate; must sit up. Emphysema of the aged. Coughing and gaping consecutively. Bronchial tubes overloaded with mucus. Cough excited by eating, with pain in chest and larynx. Å’dema and impending paralysis of lungs. Much palpitation, with uncomfortable hot feeling. Pulse rapid, weak, trembling. Dizziness, with cough. Dyspnoea relieved by eructation. Cough and dyspnoea better lying on right side--(opposite Badiaga).",,"Pustular eruption, leaving a bluish-red mark. Small-pox. Warts.",Great drowsiness. On falling asleep electric-like shocks. Irresistible inclination to sleep with nearly all complaints.,,"Difficult deglutition of liquids. Vomiting in any position, excepting lying on right side. Nausea, retching, and vomiting, especially after food, with deathly faintness and prostration. Thirst for cold water, little and often, and desire for apples, fruits, and acids generally. Nausea produces fear; with pressure in praecordial region, followed by headache with yawning and lachrymation and vomiting.",,,,,,,,"Coated, pasty, thick white, with red edges. Red and dry, especially in the center. Brown.",Burning in urethra during and after urinating. Last drops bloody with pain in bladder. Urging increased. Catarrh of bladder and urethra. Stricture. Orchitis.,,,,
ANTIMONIUM SULPHURATUM AURATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nosebleed on washing. Increased secretion in nose and throat. Rough and scrapy feeling. Loss of smell. Metallic styptic taste.,,,,,,,,"Tickling in larynx. Increased mucus with fullness in bronchi. Respiration difficult, pressure in bronchi, with constriction. Tough mucus in bronchi and larynx. Dry hard cough. Congestion of upper lobe of left lung. Winter coughs patient is sore all over. Pneumonia, when hepatization occurred and resolution failed to take place.",,,Acne (pustular variety). Itching on hands and feet.,,,,,,,,,,,,,,,,
